date_level,population,stock number,total portion
20170609_1-999,9,"1,285",0.01
"20170609_1,000-5,000",201,"496,000",7.69
"20170609_5,001-10,000",53,"440,000",6.82
"20170609_10,001-15,000",14,"179,000",2.77
"20170609_15,001-20,000",22,"413,000",6.40
"20170609_20,001-30,000",16,"437,000",6.77
"20170609_30,001-40,000",8,"288,000",4.46
"20170609_40,001-50,000",5,"237,000",3.67
"20170609_50,001-100,000",11,"869,715",13.48
"20170609_100,001-200,000",9,"1,171,000",18.16
"20170609_200,001-400,000",3,"768,000",11.91
"20170609_400,001-600,000",1,"504,000",7.81
"20170609_600,001-800,000",1,"644,000",9.98
"20170609_800,001-1,000,000",0,0,0.00
"20170609_1,000,001以上",0,0,0.00
20170603_1-999,9,"1,285",0.01
"20170603_1,000-5,000",193,"465,000",7.21
"20170603_5,001-10,000",47,"385,000",5.97
"20170603_10,001-15,000",11,"142,000",2.20
"20170603_15,001-20,000",20,"376,000",5.83
"20170603_20,001-30,000",17,"465,000",7.21
"20170603_30,001-40,000",6,"224,000",3.47
"20170603_40,001-50,000",6,"287,000",4.45
"20170603_50,001-100,000",7,"527,715",8.18
"20170603_100,001-200,000",12,"1,495,000",23.18
"20170603_200,001-400,000",3,"766,000",11.87
"20170603_400,001-600,000",1,"512,000",7.94
"20170603_600,001-800,000",0,0,0.00
"20170603_800,001-1,000,000",1,"802,000",12.43
"20170603_1,000,001以上",0,0,0.00
20170526_1-999,9,"1,285",0.01
"20170526_1,000-5,000",187,"452,000",7.00
"20170526_5,001-10,000",45,"368,000",5.70
"20170526_10,001-15,000",8,"105,000",1.62
"20170526_15,001-20,000",22,"412,000",6.38
"20170526_20,001-30,000",16,"439,000",6.80
"20170526_30,001-40,000",5,"193,000",2.99
"20170526_40,001-50,000",7,"337,000",5.22
"20170526_50,001-100,000",8,"620,715",9.62
"20170526_100,001-200,000",9,"1,214,000",18.82
"20170526_200,001-400,000",3,"761,000",11.80
"20170526_400,001-600,000",1,"516,000",8.00
"20170526_600,001-800,000",0,0,0.00
"20170526_800,001-1,000,000",0,0,0.00
"20170526_1,000,001以上",1,"1,029,000",15.95
20170519_1-999,9,"1,285",0.01
"20170519_1,000-5,000",189,"459,000",7.11
"20170519_5,001-10,000",40,"326,000",5.05
"20170519_10,001-15,000",8,"105,000",1.62
"20170519_15,001-20,000",22,"412,000",6.38
"20170519_20,001-30,000",16,"433,000",6.71
"20170519_30,001-40,000",6,"226,000",3.50
"20170519_40,001-50,000",7,"337,000",5.22
"20170519_50,001-100,000",7,"575,715",8.92
"20170519_100,001-200,000",8,"1,048,000",16.25
"20170519_200,001-400,000",4,"972,000",15.07
"20170519_400,001-600,000",1,"515,000",7.98
"20170519_600,001-800,000",0,0,0.00
"20170519_800,001-1,000,000",0,0,0.00
"20170519_1,000,001以上",1,"1,038,000",16.09
20170512_1-999,11,"1,605",0.02
"20170512_1,000-5,000",195,"484,000",7.50
"20170512_5,001-10,000",39,"322,000",4.99
"20170512_10,001-15,000",10,"129,000",2.00
"20170512_15,001-20,000",21,"392,000",6.07
"20170512_20,001-30,000",17,"463,000",7.18
"20170512_30,001-40,000",5,"194,000",3.00
"20170512_40,001-50,000",7,"337,000",5.22
"20170512_50,001-100,000",6,"441,395",6.84
"20170512_100,001-200,000",8,"1,094,000",16.96
"20170512_200,001-400,000",4,"972,000",15.07
"20170512_400,001-600,000",1,"513,000",7.95
"20170512_600,001-800,000",0,0,0.00
"20170512_800,001-1,000,000",0,0,0.00
"20170512_1,000,001以上",1,"1,105,000",17.13
20170505_1-999,11,"1,605",0.02
"20170505_1,000-5,000",199,"483,000",6.95
"20170505_5,001-10,000",41,"332,000",4.77
"20170505_10,001-15,000",12,"154,000",2.21
"20170505_15,001-20,000",21,"394,000",5.67
"20170505_20,001-30,000",16,"442,000",6.36
"20170505_30,001-40,000",7,"261,000",3.75
"20170505_40,001-50,000",6,"293,000",4.21
"20170505_50,001-100,000",6,"498,395",7.17
"20170505_100,001-200,000",9,"1,140,000",16.40
"20170505_200,001-400,000",4,"983,000",14.14
"20170505_400,001-600,000",1,"517,000",7.44
"20170505_600,001-800,000",0,0,0.00
"20170505_800,001-1,000,000",0,0,0.00
"20170505_1,000,001以上",1,"1,449,000",20.85
20170428_1-999,11,"1,605",0.02
"20170428_1,000-5,000",196,"482,000",6.93
"20170428_5,001-10,000",41,"327,000",4.70
"20170428_10,001-15,000",12,"157,000",2.25
"20170428_15,001-20,000",22,"415,000",5.97
"20170428_20,001-30,000",16,"444,000",6.39
"20170428_30,001-40,000",7,"265,000",3.81
"20170428_40,001-50,000",6,"293,000",4.21
"20170428_50,001-100,000",6,"492,395",7.08
"20170428_100,001-200,000",9,"1,142,000",16.43
"20170428_200,001-400,000",4,"983,000",14.14
"20170428_400,001-600,000",1,"521,000",7.49
"20170428_600,001-800,000",0,0,0.00
"20170428_800,001-1,000,000",0,0,0.00
"20170428_1,000,001以上",1,"1,425,000",20.50
20170421_1-999,11,"1,605",0.02
"20170421_1,000-5,000",202,"502,000",6.74
"20170421_5,001-10,000",40,"324,000",4.35
"20170421_10,001-15,000",13,"170,000",2.28
"20170421_15,001-20,000",21,"395,000",5.30
"20170421_20,001-30,000",16,"448,000",6.01
"20170421_30,001-40,000",7,"265,000",3.55
"20170421_40,001-50,000",6,"293,000",3.93
"20170421_50,001-100,000",7,"589,395",7.91
"20170421_100,001-200,000",9,"1,163,000",15.61
"20170421_200,001-400,000",4,"983,000",13.19
"20170421_400,001-600,000",2,"1,025,000",13.76
"20170421_600,001-800,000",0,0,0.00
"20170421_800,001-1,000,000",0,0,0.00
